Event	ID	Name			Wwise Object Path	Notes
	399042744	Play_AttackSequences			\Default Work Unit\Play_AttackSequences	
	992158907	Trigger_Attack_85BPM			\Default Work Unit\Trigger_Attack_85BPM	
	1240998114	Play_AttackTrack172BPM			\Default Work Unit\Play_AttackTrack172BPM	
	2261903105	Play_Music_Environment			\Default Work Unit\Play_Music_Environment	
	2960666077	Play_Hit			\Default Work Unit\Play_Hit	
	3102099450	Stop_AttackSequences			\Default Work Unit\Stop_AttackSequences	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	17586182	Sequence#2(172BPM)(Setup)	G:\HipHopAssassins\AssassinGit2\HipHopAssassins\HipHopAssassins_WwiseProject\.cache\Windows\SFX\Sequence#2(172BPM)(Setup)_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\AttackSequences(172BPM)\AttackSequence#2\Sequence#2(172BPM)(Setup)		535880
	95432837	UIHit	G:\HipHopAssassins\AssassinGit2\HipHopAssassins\HipHopAssassins_WwiseProject\.cache\Windows\SFX\UIBeep_D8B6DDD4.wem		\Actor-Mixer Hierarchy\Default Work Unit\HitSFX\UIHit		61148
	338171476	BladeGame (TESTERSONG)	G:\HipHopAssassins\AssassinGit2\HipHopAssassins\HipHopAssassins_WwiseProject\.cache\Windows\SFX\BladeGame (TESTERSONG)_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\MusicEnvironment(172 BPM)\TestingSong#172\BladeGame (TESTERSONG)\BladeGame (TESTERSONG)		21365648
	344663117	Sequence#1(172BPM)(Setup)	G:\HipHopAssassins\AssassinGit2\HipHopAssassins\HipHopAssassins_WwiseProject\.cache\Windows\SFX\Sequence#1(172BPM)(Setup)_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\AttackSequences(172BPM)\AttackSequence#1\Sequence#1(172BPM)(Setup)		535880
	539025387	Sequence#4(172BPM)(Success)	G:\HipHopAssassins\AssassinGit2\HipHopAssassins\HipHopAssassins_WwiseProject\.cache\Windows\SFX\Sequence#4(172BPM)(Success)_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\AttackSequences(172BPM)\AttackSequence#4\Sequence#4(172BPM)(Success)		535880
	672421818	Sequence#3(172BPM)(Setup)	G:\HipHopAssassins\AssassinGit2\HipHopAssassins\HipHopAssassins_WwiseProject\.cache\Windows\SFX\Sequence#3(172BPM)(Setup)_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\AttackSequences(172BPM)\AttackSequence#3\Sequence#3(172BPM)(Setup)		535880
	733186397	Sequence#2(172BPM)(Success)	G:\HipHopAssassins\AssassinGit2\HipHopAssassins\HipHopAssassins_WwiseProject\.cache\Windows\SFX\Sequence#2(172BPM)(Success)_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\AttackSequences(172BPM)\AttackSequence#2\Sequence#2(172BPM)(Success)		535880
	746452018	Sequence#3(172BPM)(Success)	G:\HipHopAssassins\AssassinGit2\HipHopAssassins\HipHopAssassins_WwiseProject\.cache\Windows\SFX\Sequence#3(172BPM)(Success)_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\AttackSequences(172BPM)\AttackSequence#3\Sequence#3(172BPM)(Success)		535880
	875592206	Sequence#4(172BPM)	G:\HipHopAssassins\AssassinGit2\HipHopAssassins\HipHopAssassins_WwiseProject\.cache\Windows\SFX\Sequence#4(172BPM)_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\AttackSequences(172BPM)\AttackSequence#4\Sequence#4(172BPM)		535880
	885610134	Sequence#1(172BPM)(Success)	G:\HipHopAssassins\AssassinGit2\HipHopAssassins\HipHopAssassins_WwiseProject\.cache\Windows\SFX\Sequence#1(172BPM)(Success)_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\AttackSequences(172BPM)\AttackSequence#1\Sequence#1(172BPM)(Success)		537856

